ID,Location,R,D,H,complexity.D,Total_fish,P_size(cm),P_AD(m),P_AD_signal,P_FID(m),P_FID_signal,NP_size(cm),NP_AD(m),NP_AD_signal,NP_FID(m),NP_FID_signal
1,S,1.650900844,2.673873432,0.371843874,L,11,2.3,0.15,Bobbing,0.4,Retreating,2.5,0.25,Bobbing,0.3,Retreating
2,S,1.66233755,2.731944905,0.283667952,L,3,2.6,0.16,Bobbing,0.45,Retreating,2,0.2,Move,0.3,Retreating
3,S,1.656555505,2.649180946,0.327259302,L,5,1.4,0.2,Bobbing,0.3,Retreating,1.2,0.15,Move,0.1,Retreating
4,S,1.516726063,2.633069705,0.305754006,L,5,2.1,0.35,Bobbing,0.55,Retreating,1.5,0.15,Move,0.48,Retreating
5,S,1.688532052,2.802102061,0.224905998,H,5,2.8,0.32,Jerking,0.51,Retreating,3.2,0.29,Bobbing,0.5,Retreating
6,S,1.508550451,2.773187687,0.209704727,H,6,2.6,0.48,Bobbing,0.71,Retreating,NA,NA,NA,NA,NA
8,S,1.555750577,2.684019572,0.283694506,L,6,2.3,0.48,Bobbing,0.74,Retreating,3,0.45,Move,0.6,Retreating
9,S,1.687860138,2.723519128,0.30021143,L,11,2.5,0.55,Jerking,0.78,Retreating,3.2,0.2,Move,0.4,Retreating
11,S,1.250793412,2.668784893,0.179940701,L,2,1.5,0.25,Bobbing,0.56,Retreating,2.3,0.5,Move,0.7,Retreating
13,S,1.262586096,2.653365302,0.207149267,L,2,2.2,0.31,Jerking,0.55,Retreating,1.8,0.24,Move,NA,NA
19,S,1.213771543,2.813026853,0.123464406,H,1,2.2,0.25,Jerking,0.5,Retreating,NA,NA,NA,NA,NA
20,S,1.179849059,2.763341326,0.125442088,L,3,2.5,0.15,Jerking,0.28,Retreating,NA,NA,NA,NA,NA
21,S,1.242038389,2.672953166,0.136539102,L,2,2.3,0.61,Jerking,0.82,Retreating,3.1,0.35,Move,0.53,Retreating
23,S,1.252237234,2.815287147,0.11287415,H,1,1.9,0.32,Bobbing,0.48,Retreating,NA,NA,NA,NA,NA
24,S,1.14474074,2.583195398,0.161254764,L,1,2.3,0.35,Jerking,0.61,Retreating,NA,NA,NA,NA,NA
28,S,1.216259592,2.577601549,0.221301317,L,1,NA,NA,NA,NA,NA,1.6,0.1,Move,0.31,Retreating
30,S,1.552830208,2.62718185,0.34689188,L,9,3.8,0.6,Jerking,0.68,Retreating,2.9,0.25,Bobbing,0.4,Retreating
31,S,1.154223339,2.673065932,0.136057973,L,3,2.5,0.32,Bobbing,0.8,Retreating,2.1,0.18,Move,0.45,Retreating
32,S,1.566806304,2.886887299,0.160832345,H,1,NA,NA,NA,NA,NA,2,0.25,Move,0.35,Retreating
33,S,1.304470846,2.888623114,0.122060478,H,1,1.8,0.6,Bobbing,0.41,Retreating,NA,NA,NA,NA,NA
